fold,component,explained_variance_ratio
4,32,0.004938185424721904
4,33,0.0034520931969611655
4,34,0.0022699217561203498
4,35,0.00205588169928153
4,36,0.0015579260730692829
4,37,0.0011741400157140125
4,38,0.0009880810949297054
4,39,0.0006707538916615905
4,40,0.0006287373348580059
4,41,0.0005770369296938999
4,42,0.00046851089213435716
4,43,0.0003208870700193006
4,44,0.00025249192460666356
4,45,0.00017069844199356973
4,46,0.00015832871224071124
4,47,0.0001254671532002721
4,48,8.930410999981343e-05
4,49,5.8580560047626064e-05
4,50,5.139961670188764e-05
4,51,2.5719054392910883e-05
4,52,2.3318031718278875e-05
4,53,1.7333795738660865e-05
4,54,1.2175698820686206e-05
4,55,9.645538238251378e-06
4,56,8.313606139711372e-06
4,57,6.321279540842724e-06
4,58,4.641181319773656e-06
4,59,2.7332942415604634e-06
4,60,7.809227754127279e-07
4,61,3.48968499311637e-07
4,62,2.175533480618621e-12
4,63,1.7381492331501674e-13
4,64,2.2922670248152565e-16
