fold,arm,input_dimensions,retained_training_variance,seconds,training_rows,preprocessing_fit_on_training_only,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix
1,pca_full_64,64,1.0,11.942990399998962,3744,True,0.49230769230769234,0.3404255319148936,4.902127659574468,32,94,65,0.3394302110517778,0.832977126203303,0.33202402903969574,0.9294871794871795,0.4878048780487805,0.3076923076923077,0.37735849056603776,"[[850, 21], [45, 20]]"
2,raw_64,64,1.0,16.408569899998838,3744,True,0.7692307692307693,0.5319148936170213,7.659574468085106,50,94,65,0.7443571370560497,0.9510200476905414,0.7430036633584824,0.9583333333333334,0.7954545454545454,0.5384615384615384,0.6422018348623854,"[[862, 9], [30, 35]]"
2,scaled_64,64,1.0,12.266231999994488,3744,True,0.7692307692307693,0.5319148936170213,7.659574468085106,50,94,65,0.7443571370560497,0.9510200476905414,0.7430036633584824,0.9583333333333334,0.7954545454545454,0.5384615384615384,0.6422018348623854,"[[862, 9], [30, 35]]"
2,pca_90,18,0.9044808268187825,5.359325700002955,3744,True,0.4,0.2765957446808511,3.9829787234042553,26,94,65,0.2689869291575727,0.7834672789896671,0.26218480708581027,0.9091880341880342,0.3148148148148148,0.26153846153846155,0.2857142857142857,"[[834, 37], [48, 17]]"
2,pca_95,22,0.9607168731491157,7.411303999993834,3744,True,0.4307692307692308,0.2978723404255319,4.2893617021276595,28,94,65,0.27645398374250885,0.7943301245253025,0.2668881457317001,0.9123931623931624,0.3333333333333333,0.26153846153846155,0.29310344827586204,"[[837, 34], [48, 17]]"
2,pca_99,27,0.990013375081337,13.378872700006468,3744,True,0.4,0.2765957446808511,3.9829787234042553,26,94,65,0.2664482966079251,0.792175218581648,0.2569304841814923,0.9145299145299145,0.3469387755102041,0.26153846153846155,0.2982456140350877,"[[839, 32], [48, 17]]"
2,pca_full_64,64,0.9999999999999998,11.224326600000495,3744,True,0.6307692307692307,0.43617021276595747,6.280851063829787,41,94,65,0.4785518478073786,0.859719155700786,0.4748861106255435,0.9348290598290598,0.5588235294117647,0.2923076923076923,0.3838383838383838,"[[856, 15], [46, 19]]"
3,raw_64,64,1.0,7.2680446000013035,3744,True,0.8307692307692308,0.574468085106383,8.272340425531915,54,94,65,0.7762983048917315,0.9455268038505696,0.7751018412061361,0.9583333333333334,0.7166666666666667,0.6615384615384615,0.688,"[[854, 17], [22, 43]]"
3,scaled_64,64,1.0,5.1426323000050616,3744,True,0.8307692307692308,0.574468085106383,8.272340425531915,54,94,65,0.7762983048917315,0.9455268038505696,0.7751018412061361,0.9583333333333334,0.7166666666666667,0.6615384615384615,0.688,"[[854, 17], [22, 43]]"
3,pca_90,18,0.9021087833688036,3.1440183999948204,3744,True,0.4461538461538462,0.30851063829787234,4.4425531914893615,29,94,65,0.33802372669168457,0.8322705996643998,0.33107455868623914,0.9134615384615384,0.375,0.36923076923076925,0.37209302325581395,"[[831, 40], [41, 24]]"
3,pca_95,22,0.9590028969116661,2.9552816999930656,3744,True,0.5230769230769231,0.3617021276595745,5.208510638297873,34,94,65,0.35511876178579094,0.8225028702640643,0.34994829336337874,0.9198717948717948,0.421875,0.4153846153846154,0.4186046511627907,"[[834, 37], [38, 27]]"
3,pca_99,28,0.9922942776623328,4.273370900002192,3744,True,0.5538461538461539,0.3829787234042553,5.514893617021277,36,94,65,0.37840084665562623,0.8358915481762784,0.37115407346294,0.9252136752136753,0.4626865671641791,0.47692307692307695,0.4696969696969697,"[[835, 36], [34, 31]]"
3,pca_full_64,64,0.9999999999999998,6.853201500009163,3744,True,0.6,0.4148936170212766,5.974468085106382,39,94,65,0.47886298644030234,0.9058553386911596,0.472805117998303,0.9358974358974359,0.5454545454545454,0.46153846153846156,0.5,"[[846, 25], [35, 30]]"
4,raw_64,64,1.0,9.462580299994443,3744,True,0.7575757575757576,0.5319148936170213,7.543520309477756,50,94,66,0.759569981198018,0.9420411006617904,0.758455783073308,0.9583333333333334,0.7288135593220338,0.6515151515151515,0.688,"[[854, 16], [23, 43]]"
4,scaled_64,64,1.0,11.50575569999637,3744,True,0.7575757575757576,0.5319148936170213,7.543520309477756,50,94,66,0.7573340357357906,0.9421455938697317,0.7562037238171807,0.9572649572649573,0.7166666666666667,0.6515151515151515,0.6825396825396826,"[[853, 17], [23, 43]]"
4,pca_90,23,0.9040600127382046,4.564457999993465,3744,True,0.4696969696969697,0.32978723404255317,4.676982591876208,31,94,66,0.34657821834428165,0.8050156739811912,0.340668750169678,0.9027777777777778,0.3493975903614458,0.4393939393939394,0.38926174496644295,"[[816, 54], [37, 29]]"
4,pca_95,27,0.9525349226584456,5.623908699999447,3744,True,0.5,0.35106382978723405,4.9787234042553195,33,94,66,0.35077974403567275,0.8107976314872866,0.3447122024802735,0.907051282051282,0.36363636363636365,0.42424242424242425,0.3916083916083916,"[[821, 49], [38, 28]]"
4,pca_99,34,0.9905404431060729,6.170871999987867,3744,True,0.48484848484848486,0.3404255319148936,4.827852998065764,32,94,66,0.3623423311200965,0.8301114594218043,0.3551382654895417,0.9113247863247863,0.37681159420289856,0.3939393939393939,0.3851851851851852,"[[827, 43], [40, 26]]"
4,pca_full_64,64,1.0,9.490684599993983,3744,True,0.5303030303030303,0.3723404255319149,5.280464216634429,35,94,66,0.38220664301638324,0.8756182514803205,0.3709372971572072,0.9198717948717948,0.42105263157894735,0.36363636363636365,0.3902439024390244,"[[837, 33], [42, 24]]"
