trial,state,fold,recall_at_10,precision_at_10,lift_at_10,captured,reviewed,positives,average_precision,roc_auc,pr_auc_trapezoid,accuracy,precision,recall,f1,confusion_matrix,seconds,train_rows,valid_rows,train_positive,weight_ratio
7,COMPLETE,2,0.7155963302752294,0.5,7.155963302752293,78,156,109,0.7185001255623714,0.9262324622689825,0.7177221663052378,0.9538461538461539,0.6728971962616822,0.6605504587155964,0.6666666666666666,"[[1416, 35], [37, 72]]",4.032935099909082,3120,1560,217,13.377880184331797
8,COMPLETE,0,0.6944444444444444,0.4807692307692308,6.944444444444445,75,156,108,0.6652816128622209,0.9105703499642893,0.6641372997969034,0.9416666666666667,0.5648854961832062,0.6851851851851852,0.6192468619246861,"[[1395, 57], [34, 74]]",212.4181267999811,3120,1560,218,13.311926605504587
8,COMPLETE,1,0.7339449541284404,0.5128205128205128,7.339449541284403,80,156,109,0.6781662819938067,0.9378726471462262,0.676991678636195,0.9455128205128205,0.6,0.6605504587155964,0.62882096069869,"[[1403, 48], [37, 72]]",16.97228119999636,3120,1560,217,13.377880184331797
8,COMPLETE,2,0.7155963302752294,0.5,7.155963302752293,78,156,109,0.6978206011741805,0.9244620919454474,0.6968989410933345,0.9403846153846154,0.5615384615384615,0.6697247706422018,0.6108786610878661,"[[1394, 57], [36, 73]]",7.626653400016949,3120,1560,217,13.377880184331797
9,COMPLETE,0,0.7407407407407407,0.5128205128205128,7.4074074074074066,80,156,108,0.7088508038951584,0.9202696153453729,0.7079533281754962,0.9519230769230769,0.6486486486486487,0.6666666666666666,0.6575342465753424,"[[1413, 39], [36, 72]]",20.341115699964575,3120,1560,218,13.311926605504587
9,COMPLETE,1,0.7431192660550459,0.5192307692307693,7.431192660550459,81,156,109,0.7047173739623938,0.9480016944973098,0.703594569472559,0.9525641025641025,0.6923076923076923,0.5779816513761468,0.63,"[[1423, 28], [46, 63]]",19.462523699970916,3120,1560,217,13.377880184331797
9,COMPLETE,2,0.7522935779816514,0.5256410256410257,7.522935779816514,82,156,109,0.73774785400204,0.9393964301746976,0.7369016949307252,0.9564102564102565,0.6880733944954128,0.6880733944954128,0.6880733944954128,"[[1417, 34], [34, 75]]",20.059421499958262,3120,1560,217,13.377880184331797
10,COMPLETE,0,0.6388888888888888,0.4423076923076923,6.388888888888888,69,156,108,0.5739050128984107,0.8996722273237425,0.5715681733447882,0.8730769230769231,0.32421875,0.7685185185185185,0.45604395604395603,"[[1279, 173], [25, 83]]",2.7550522999372333,3120,1560,218,13.311926605504587
10,COMPLETE,1,0.6605504587155964,0.46153846153846156,6.605504587155964,72,156,109,0.6273529386417618,0.9257203194253883,0.6260283492456354,0.8801282051282051,0.344,0.7889908256880734,0.479108635097493,"[[1287, 164], [23, 86]]",2.7584330999525264,3120,1560,217,13.377880184331797
10,COMPLETE,2,0.6513761467889908,0.4551282051282051,6.513761467889908,71,156,109,0.6486966891031768,0.9119620129110578,0.6476533908303349,0.8698717948717949,0.32061068702290074,0.7706422018348624,0.4528301886792453,"[[1273, 178], [25, 84]]",3.0466291999910027,3120,1560,217,13.377880184331797
11,COMPLETE,0,0.75,0.5192307692307693,7.5,81,156,108,0.7125950408573819,0.9197849709213346,0.7116863484428992,0.9551282051282052,0.6938775510204082,0.6296296296296297,0.6601941747572816,"[[1422, 30], [40, 68]]",3.1710620999801904,3120,1560,218,13.311926605504587
11,COMPLETE,1,0.7431192660550459,0.5192307692307693,7.431192660550459,81,156,109,0.7182787541324218,0.9484126733224161,0.7172068259152569,0.9544871794871795,0.7159090909090909,0.5779816513761468,0.6395939086294417,"[[1426, 25], [46, 63]]",3.362496000016108,3120,1560,217,13.377880184331797
11,COMPLETE,2,0.7798165137614679,0.5448717948717948,7.798165137614678,85,156,109,0.7490431028669713,0.9417295253510708,0.7483116041601142,0.9544871794871795,0.6862745098039216,0.6422018348623854,0.6635071090047393,"[[1419, 32], [39, 70]]",3.2484219999751076,3120,1560,217,13.377880184331797
12,COMPLETE,0,0.7129629629629629,0.4935897435897436,7.12962962962963,77,156,108,0.6550293413944996,0.9117500765228037,0.6537743858695736,0.9384615384615385,0.5491803278688525,0.6203703703703703,0.5826086956521739,"[[1397, 55], [41, 67]]",2.879377600038424,3120,1560,218,13.311926605504587
12,COMPLETE,1,0.7339449541284404,0.5128205128205128,7.339449541284403,80,156,109,0.6801248155668543,0.9426020650105273,0.6788272720239034,0.9461538461538461,0.6190476190476191,0.5963302752293578,0.6074766355140186,"[[1411, 40], [44, 65]]",3.0040535998996347,3120,1560,217,13.377880184331797
12,COMPLETE,2,0.7339449541284404,0.5128205128205128,7.339449541284403,80,156,109,0.7051140345795346,0.927876377569408,0.7042389938345635,0.9506410256410256,0.6333333333333333,0.6972477064220184,0.6637554585152838,"[[1407, 44], [33, 76]]",2.9162038000067696,3120,1560,217,13.377880184331797
13,COMPLETE,0,0.75,0.5192307692307693,7.5,81,156,108,0.7071819159051607,0.9176168248137946,0.7063166679128966,0.9519230769230769,0.6774193548387096,0.5833333333333334,0.6268656716417911,"[[1422, 30], [45, 63]]",4.713267499930225,3120,1560,218,13.311926605504587
